id,id2,displaylabel,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
1620000US4800100,4800100,"Abbott",356,361,361,362,361,358,357,358,360
1620000US4800160,4800160,"Abernathy",2805,2816,2822,2836,2827,2808,2752,2744,2765
1620000US4801000,4801000,"Abilene",117063,117463,117788,118775,119932,119966,120822,121902,122225
1620000US4801108,4801108,"Ackerly",220,220,220,220,219,225,230,232,233
1620000US4801240,4801240,"Addison",13056,13062,13091,13786,15165,15389,15427,15475,15368
1620000US4801324,4801324,"Adrian",166,166,166,168,165,169,168,166,167
1620000US4801396,4801396,"Agua Dulce",812,812,811,811,816,821,819,814,811
1620000US4801576,4801576,"Alamo",18353,18379,18452,18642,18778,18885,19036,19171,19220
1620000US4801600,4801600,"Alamo Heights",7031,7031,7065,7200,7362,7568,7808,8023,8284
1620000US4801636,4801636,"Alba",504,502,503,503,503,504,506,510,516
1620000US4801648,4801648,"Albany",2034,2034,2029,1989,2004,2006,1970,1985,1983
1620000US4801744,4801744,"Aledo",2716,2701,2719,2766,2809,2884,3094,3397,3761
1620000US4801852,4801852,"Alice",19104,19109,19130,19292,19516,19546,19444,19440,19285
1620000US4801924,4801924,"Allen",84246,84275,84935,87796,89920,92250,94150,97990,99179
1620000US4802044,4802044,"Alma",331,331,332,334,336,339,347,355,363
1620000US4802104,4802104,"Alpine",5905,5993,6020,6080,6005,6028,5934,5920,5988
1620000US4802188,4802188,"Alto",1225,1225,1227,1223,1221,1213,1209,1222,1228
1620000US4802212,4802212,"Alton",12341,13917,14021,14356,14787,15008,15474,15713,16895
1620000US4802260,4802260,"Alvarado",3785,3752,3761,3748,3759,3772,3847,3954,3993
1620000US4802272,4802272,"Alvin",24236,24225,24304,24713,24963,25067,25476,25734,26164
1620000US4802284,4802284,"Alvord",1334,1334,1333,1351,1360,1369,1379,1402,1435
1620000US4803000,4803000,"Amarillo",190695,190666,191327,193910,195632,196635,197645,198346,199582
1620000US4803072,4803072,"Ames",1003,1003,1007,1007,1014,1023,1041,1061,1093
1620000US4803084,4803084,"Amherst",721,721,722,724,716,704,694,685,680
1620000US4803144,4803144,"Anahuac",2243,2241,2248,2238,2261,2300,2311,2321,2339
1620000US4803192,4803192,"Anderson",222,222,222,223,223,223,225,229,230
1620000US4803216,4803216,"Andrews",11088,11098,11140,11596,12168,12702,13206,13772,13574
1620000US4803264,4803264,"Angleton",18862,18873,18874,18892,18963,18982,19409,19418,19491
1620000US4803288,4803288,"Angus",414,416,416,417,415,413,414,416,417
1620000US4803300,4803300,"Anna",8249,8184,8220,8385,8474,9487,10459,11345,11940
1620000US4803336,4803336,"Annetta",1288,1290,1292,1302,1315,1326,1380,1440,1489
1620000US4803340,4803340,"Annetta North",518,497,498,501,504,509,517,527,536
1620000US4803342,4803342,"Annetta South",526,506,507,511,513,518,526,536,546
1620000US4803360,4803360,"Annona",315,315,315,311,311,305,304,301,297
1620000US4803372,4803372,"Anson",2430,2430,2430,2393,2355,2345,2316,2328,2329
1620000US4803432,4803432,"Anthony",5011,5011,5036,5096,5185,5318,5421,5506,5584
1620000US4803540,4803540,"Anton",1126,1126,1122,1125,1127,1143,1139,1126,1115
1620000US4803564,4803564,"Appleby",474,472,473,475,478,470,470,472,472
1620000US4803588,4803588,"Aquilla",109,109,109,109,109,108,108,108,109
1620000US4803600,4803600,"Aransas Pass",8204,8204,8173,8165,8244,8341,8456,8523,8393
1620000US4803696,4803696,"Archer City",1834,1834,1843,1784,1773,1766,1773,1752,1746
1620000US4803708,4803708,"Arcola",1642,1609,1631,1698,1772,1871,1982,2092,2202
1620000US4803768,4803768,"Argyle",3282,3247,3265,3350,3453,3571,3728,3890,4006
1620000US4804000,4804000,"Arlington",365438,365399,366248,370729,376082,379354,382960,388534,392772
1620000US4804156,4804156,"Arp",970,966,969,976,980,981,986,994,1002
1620000US4804300,4804300,"Asherton",1084,1046,1050,1055,1094,1135,1147,1141,1118
1620000US4804408,4804408,"Aspermont",919,917,920,910,901,879,863,870,879
1620000US4804504,4804504,"Athens",12710,12706,12719,12790,12819,12767,12774,12759,12811
1620000US4804516,4804516,"Atlanta",5675,5671,5662,5673,5610,5633,5620,5629,5638
1620000US4804600,4804600,"Aubrey",2595,2610,2628,2682,2708,2724,2815,3344,3383
1620000US4804672,4804672,"Aurora",1220,1220,1219,1245,1251,1259,1268,1306,1356
